lemma,poscode,surface
AG Bergen auf Rügen,3,AG Bergen auf Rügen,Amtsgericht Bergen auf Rügen,Amtsgerichts Bergen auf Rügen,Amtsgerichtes Bergen auf Rügen
AG Bergheim,3,AG Bergheim,Amtsgericht Bergheim,Amtsgerichts Bergheim,Amtsgerichtes Bergheim
AG Bergisch Gladbach,3,AG Bergisch Gladbach,Amtsgericht Bergisch Gladbach,Amtsgerichts Bergisch Gladbach,Amtsgerichtes Bergisch Gladbach
AG Berlin,3,AG Berlin,Amtsgericht Berlin,Amtsgerichts Berlin,Amtsgerichtes Berlin
AG Berlin-Charlottenburg,3,AG Berlin-Charlottenburg,Amtsgericht Berlin-Charlottenburg,Amtsgerichts Berlin-Charlottenburg,Amtsgerichtes Berlin-Charlottenburg
AG Berlin-Hohenschönhausen,3,AG Berlin-Hohenschönhausen,Amtsgericht Berlin-Hohenschönhausen,Amtsgerichts Berlin-Hohenschönhausen,Amtsgerichtes Berlin-Hohenschönhausen
AG Berlin-Köpenick,3,AG Berlin-Köpenick,Amtsgericht Berlin-Köpenick,Amtsgerichts Berlin-Köpenick,Amtsgerichtes Berlin-Köpenick
AG Berlin-Lichtenberg,3,AG Berlin-Lichtenberg,Amtsgericht Berlin-Lichtenberg,Amtsgerichts Berlin-Lichtenberg,Amtsgerichtes Berlin-Lichtenberg
AG Berlin-Mitte,3,AG Berlin-Mitte,Amtsgericht Berlin-Mitte,Amtsgerichts Berlin-Mitte,Amtsgerichtes Berlin-Mitte
AG Berlin-Neukölln,3,AG Berlin-Neukölln,Amtsgericht Berlin-Neukölln,Amtsgerichts Berlin-Neukölln,Amtsgerichtes Berlin-Neukölln
AG Berlin-Pankow/Weißensee,3,AG Berlin-Pankow/Weißensee,Amtsgericht Berlin-Pankow/Weißensee,Amtsgerichts Berlin-Pankow/Weißensee,Amtsgerichtes Berlin-Pankow/Weißensee
AG Berlin-Schöneberg,3,AG Berlin-Schöneberg,Amtsgericht Berlin-Schöneberg,Amtsgerichts Berlin-Schöneberg,Amtsgerichtes Berlin-Schöneberg
AG Berlin-Spandau,3,AG Berlin-Spandau,Amtsgericht Berlin-Spandau,Amtsgerichts Berlin-Spandau,Amtsgerichtes Berlin-Spandau
AG Berlin-Tempelhof,3,AG Berlin-Tempelhof,Amtsgericht Berlin-Tempelhof,Amtsgerichts Berlin-Tempelhof,Amtsgerichtes Berlin-Tempelhof
AG Berlin-Tempelhof/Kreuzberg,3,AG Berlin-Tempelhof/Kreuzberg,Amtsgericht Berlin-Tempelhof/Kreuzberg,Amtsgerichts Berlin-Tempelhof/Kreuzberg,Amtsgerichtes Berlin-Tempelhof/Kreuzberg
AG Berlin-Tiergarten,3,AG Berlin-Tiergarten,Amtsgericht Berlin-Tiergarten,Amtsgerichts Berlin-Tiergarten,Amtsgerichtes Berlin-Tiergarten
AG Berlin-Wedding,3,AG Berlin-Wedding,Amtsgericht Berlin-Wedding,Amtsgerichts Berlin-Wedding,Amtsgerichtes Berlin-Wedding
AG Bernau,3,AG Bernau,Amtsgericht Bernau,Amtsgerichts Bernau,Amtsgerichtes Bernau
AG Bernburg,3,AG Bernburg,Amtsgericht Bernburg,Amtsgerichts Bernburg,Amtsgerichtes Bernburg
AG Bernkastel-Kues,3,AG Bernkastel-Kues,Amtsgericht Bernkastel-Kues,Amtsgerichts Bernkastel-Kues,Amtsgerichtes Bernkastel-Kues
AG Bersenbrück,3,AG Bersenbrück,Amtsgericht Bersenbrück,Amtsgerichts Bersenbrück,Amtsgerichtes Bersenbrück
AG Besigheim,3,AG Besigheim,Amtsgericht Besigheim,Amtsgerichts Besigheim,Amtsgerichtes Besigheim
AG Betzdorf,3,AG Betzdorf,Amtsgericht Betzdorf,Amtsgerichts Betzdorf,Amtsgerichtes Betzdorf
AG Biberach,3,AG Biberach,Amtsgericht Biberach,Amtsgerichts Biberach,Amtsgerichtes Biberach
AG Biedenkopf,3,AG Biedenkopf,Amtsgericht Biedenkopf,Amtsgerichts Biedenkopf,Amtsgerichtes Biedenkopf
AG Bielefeld,3,AG Bielefeld,Amtsgericht Bielefeld,Amtsgerichts Bielefeld,Amtsgerichtes Bielefeld
AG Bingen,3,AG Bingen,Amtsgericht Bingen,Amtsgerichts Bingen,Amtsgerichtes Bingen
AG Birkenfeld,3,AG Birkenfeld,Amtsgericht Birkenfeld,Amtsgerichts Birkenfeld,Amtsgerichtes Birkenfeld
AG Bischofswerda,3,AG Bischofswerda,Amtsgericht Bischofswerda,Amtsgerichts Bischofswerda,Amtsgerichtes Bischofswerda
AG Bitburg,3,AG Bitburg,Amtsgericht Bitburg,Amtsgerichts Bitburg,Amtsgerichtes Bitburg
AG Bitterfeld,3,AG Bitterfeld,Amtsgericht Bitterfeld,Amtsgerichts Bitterfeld,Amtsgerichtes Bitterfeld
AG Bitterfeld-Wolfen,3,AG Bitterfeld-Wolfen,Amtsgericht Bitterfeld-Wolfen,Amtsgerichts Bitterfeld-Wolfen,Amtsgerichtes Bitterfeld-Wolfen
AG Blieskastel,3,AG Blieskastel,Amtsgericht Blieskastel,Amtsgerichts Blieskastel,Amtsgerichtes Blieskastel
AG Blomberg,3,AG Blomberg,Amtsgericht Blomberg,Amtsgerichts Blomberg,Amtsgerichtes Blomberg
